Source,Target,Relation
free_thinker,raki6663,friend_of_friend
free_thinker,KhanIrjan,friend_of_friend
free_thinker,pradeeptheni,friend_of_friend
free_thinker,Armlocked,friend_of_friend
@SitaramYechury,abhisar_sharma,friend
arkhan962,abhisar_sharma,follower_of_friend
IrfanRazaQadr10,abhisar_sharma,follower_of_friend
MdAmruddinKhan1,abhisar_sharma,follower_of_friend
ashuklla,abhisar_sharma,follower_of_friend
alka_emerging,abhisar_sharma,follower_of_friend
Mustafa42558868,abhisar_sharma,follower_of_friend
LallySandhu17,abhisar_sharma,follower_of_friend
Ajayr189gmailc3,abhisar_sharma,follower_of_friend
SyedArshadh,abhisar_sharma,follower_of_friend
MohammedjunedC,abhisar_sharma,follower_of_friend
Alizafa18096372,abhisar_sharma,follower_of_friend
_syed_zaada_,abhisar_sharma,follower_of_friend
MachhiVasant1,abhisar_sharma,follower_of_friend
ankushr79707154,abhisar_sharma,follower_of_friend
ManishP62042715,abhisar_sharma,follower_of_friend
dineshchudasma,abhisar_sharma,follower_of_friend
MdArbaz45493652,abhisar_sharma,follower_of_friend
vikramg37297460,abhisar_sharma,follower_of_friend
Shabbir67943596,abhisar_sharma,follower_of_friend
mdamanu44847469,abhisar_sharma,follower_of_friend
abhisar_sharma,arkhan962,friend_of_friend
abhisar_sharma,IrfanRazaQadr10,friend_of_friend
abhisar_sharma,MdAmruddinKhan1,friend_of_friend
abhisar_sharma,ashuklla,friend_of_friend
abhisar_sharma,alka_emerging,friend_of_friend
abhisar_sharma,Mustafa42558868,friend_of_friend
abhisar_sharma,LallySandhu17,friend_of_friend
abhisar_sharma,Ajayr189gmailc3,friend_of_friend
abhisar_sharma,SyedArshadh,friend_of_friend
abhisar_sharma,MohammedjunedC,friend_of_friend
abhisar_sharma,Alizafa18096372,friend_of_friend
abhisar_sharma,_syed_zaada_,friend_of_friend
abhisar_sharma,MachhiVasant1,friend_of_friend
abhisar_sharma,ankushr79707154,friend_of_friend
abhisar_sharma,ManishP62042715,friend_of_friend
abhisar_sharma,dineshchudasma,friend_of_friend
abhisar_sharma,MdArbaz45493652,friend_of_friend
abhisar_sharma,vikramg37297460,friend_of_friend
abhisar_sharma,Shabbir67943596,friend_of_friend
abhisar_sharma,mdamanu44847469,friend_of_friend
@SitaramYechury,TheDeshBhakt,friend
praj_bhalerao,TheDeshBhakt,follower_of_friend
MorasFabian,TheDeshBhakt,follower_of_friend
AnimeshKakoty2,TheDeshBhakt,follower_of_friend
lalitsinghmaury,TheDeshBhakt,follower_of_friend
porobeen,TheDeshBhakt,follower_of_friend
MoUvais13,TheDeshBhakt,follower_of_friend
cupbottomrat,TheDeshBhakt,follower_of_friend
GCmohanty9100,TheDeshBhakt,follower_of_friend
Mubashs08779796,TheDeshBhakt,follower_of_friend
AbushadAli6,TheDeshBhakt,follower_of_friend
Gaurang48109906,TheDeshBhakt,follower_of_friend
Pankajk09951746,TheDeshBhakt,follower_of_friend
oyesunnny_,TheDeshBhakt,follower_of_friend
WittyNeil,TheDeshBhakt,follower_of_friend
Lokesh77198654,TheDeshBhakt,follower_of_friend
sharmad39,TheDeshBhakt,follower_of_friend
Robin88954639,TheDeshBhakt,follower_of_friend
chittora_hemu,TheDeshBhakt,follower_of_friend
ArshadK78736878,TheDeshBhakt,follower_of_friend
juned_dorawala,TheDeshBhakt,follower_of_friend
TheDeshBhakt,praj_bhalerao,friend_of_friend
TheDeshBhakt,MorasFabian,friend_of_friend
TheDeshBhakt,AnimeshKakoty2,friend_of_friend
TheDeshBhakt,lalitsinghmaury,friend_of_friend
TheDeshBhakt,porobeen,friend_of_friend
TheDeshBhakt,MoUvais13,friend_of_friend
TheDeshBhakt,cupbottomrat,friend_of_friend
TheDeshBhakt,GCmohanty9100,friend_of_friend
TheDeshBhakt,Mubashs08779796,friend_of_friend
TheDeshBhakt,AbushadAli6,friend_of_friend
TheDeshBhakt,Gaurang48109906,friend_of_friend
TheDeshBhakt,Pankajk09951746,friend_of_friend
TheDeshBhakt,oyesunnny_,friend_of_friend
TheDeshBhakt,WittyNeil,friend_of_friend
TheDeshBhakt,Lokesh77198654,friend_of_friend
TheDeshBhakt,sharmad39,friend_of_friend
TheDeshBhakt,Robin88954639,friend_of_friend
